canonical_name,definition,rationale,sample_fields,status,merge_into,tier
title,"The displayed or inferred title, heading, or caption that identifies the snapshot.","Titles are usually the strongest single searchable description of a snapshot’s content and should be normalized across figures, tables, maps, and charts.","table_title, figure_title, snapshot_title, chart_title, map_title, table_caption",keep,,Core
subject_summary,A concise description of the main analytical subject or purpose of the snapshot.,Many snapshots have terse or generic titles; a subject summary improves discovery by describing what the snapshot is substantively about.,"table_subject, map_subject, table_topic, analytical_focus, table_purpose, assessment_topic",keep,,Core
subject_domain,"Broad topical, policy, sectoral, or thematic domains represented by the snapshot.","Domain facets support browsing across humanitarian, economic, health, education, finance, and policy-report content without relying on exact indicator names.","subject_domain, subject_topic, thematic_domain, subject_area, topic_domain, policy_domain, sector",keep,,Core
visualization_type,"The structural form used to present the data, such as table, map, line chart, bar chart, dashboard, or composite figure.","Visualization type helps users filter for reusable analytical forms and understand whether the snapshot supports trend, spatial, categorical, or tabular analysis.","visualization_type, map_type, chart_purpose, statistical_output_type, financial_data_type",keep,,Core
language,"The language used in the snapshot text, labels, or title.","Language enables multilingual indexing, OCR routing, translation workflows, and language-based filtering.","language, snapshot_language, data_language, content_language, source_language, document_language",keep,,Core
internal_identifier,"The document-assigned label, number, annex, exhibit, or map identifier for the snapshot.","Internal identifiers support citation, cross-reference, navigation, and disambiguation among multiple snapshots in the same document.","figure_number, table_number, figure_identifier, table_identifier, map_identifier, annex_identifier",keep,,Core
source_document_title,The title of the PDF or parent document containing the snapshot.,"Parent-document title provides provenance and broader context when a snapshot is indexed independently, especially for project and research outputs.","source_document_title, document_context_title, document_title, parent_document_title, document_context",keep,,Core
source_organization,"Organization or institutional unit responsible for publishing, producing, issuing, branding, or reporting the snapshot or source document.","Organizational provenance supports authority assessment, institutional filtering, and trust evaluation.","source_organization, issuing_organization, publishing_organization, map_producer, reporting_organization, institutional_source",keep,,Core
data_source,"Dataset, survey, monitoring system, citation, provider, URL, or source note from which the snapshot’s data values are derived.","Data-source metadata is essential for provenance, reproducibility, reliability assessment, and finding snapshots derived from the same underlying source.","source_citation, data_source, data_source_name, source_dataset, source_datasets, data_provider, source_url",keep,,Core
interpretive_note,"Footnotes, caveats, methodological notes, data-quality notes, disclaimers, or rights statements needed to interpret or reuse the snapshot.","Notes often contain critical exclusions, definitions, preliminary-status caveats, boundary disclaimers, or attribution requirements that are not captured in titles or labels.","data_quality_note, footnote_text, table_note, methodological_note, data_notes, boundary_disclaimer, rights_statement",keep,,Specialized
time_period,"Year, date range, study period, reporting period, or time span covered by the data.","Temporal coverage is fundamental for filtering, comparison, trend analysis, and avoiding confusion with document publication dates.","time_period, data_time_period, study_period, fiscal_year_range, comparison_periods, time_points",keep,,Core
reference_date,"Point-in-time date associated with the snapshot, reporting status, data vintage, map, or as-of statement.","Reference dates are critical for time-sensitive humanitarian, financial, operational, and statistical snapshots.","reference_date, as_of_date, reporting_date, snapshot_date, map_date, data_as_of_date, data_reference_date",keep,,Specialized
temporal_granularity,"Frequency or resolution of time observations, such as annual, quarterly, monthly, daily, fiscal year, or survey round.","Granularity helps determine whether a snapshot supports trend analysis, monitoring, or comparison with other time-series data.","temporal_granularity, temporal_frequency, measurement_frequency, temporal_resolution, time_granularity, data_frequency",keep,,Specialized
geographic_scope,"Primary country, region, administrative area, or geographic extent to which the snapshot applies.",Geographic scope is one of the most important discovery facets for institutional data snapshots and enables place-based filtering and comparison.,"geographic_scope, country, country_or_region, primary_geographic_context, geographic_reference",keep,,Core
geographic_entities,"Named countries, territories, regions, cities, camps, settlements, or other places represented inside the snapshot.","Entity-level geographic labels expose place names embedded in tables, charts, and maps that may not appear in document metadata.","geographic_entities, location_names, named_places, geographic_units, countries_or_territories, mapped_locations, territory_names",keep,,Specialized
geographic_granularity,"Spatial or administrative level at which data are reported, such as national, province, district, city, facility, site, or settlement level.","Granularity helps users assess whether the snapshot supports national comparison, subnational analysis, or site-level reuse.","administrative_level, geographic_granularity, spatial_granularity, geographic_unit_type, location_granularity, geographic_unit",keep,,Specialized
geographic_role,"The analytical role played by a geography, such as origin, destination, asylum location, reporting country, comparator, or context geography.","Distinguishing geographic roles prevents misinterpretation, especially in displacement, migration, trade, and flow data.","geographic_role, country_of_asylum, origin_location, destination_locations, origin_dimension, destination_dimension, geographic_role_dimensions",keep,,Specialized
location_type,"Type of place, facility, settlement, institution, service point, or mapped feature to which the data apply.","Location type supports discovery of snapshots about camps, hospitals, schools, transit centers, distribution points, offices, and other operational settings.","facility_type, location_type, service_delivery_point_type, population_site_types, organization_presence_types, primary_mapped_feature",keep,,Specialized
population_group,"Population, beneficiary, stakeholder, or subject group described by the snapshot.","Population facets are central for humanitarian, demographic, education, health, and development discovery.","population_group, subject_population, beneficiary_population, affected_population_group, focal_subpopulation, reference_population",keep,population_group,Core
age_group,"Age categories, ranges, or life-stage groups represented or used for disaggregation.","Age-group metadata supports demographic filtering, equity analysis, and comparison across population snapshots.","age_group, age_range, age_group_categories, demographic_disaggregation",merge,population_group,merge
sex_or_gender,Sex or gender categories represented in the data or used as disaggregation groups.,Gender metadata supports discovery of sex-disaggregated evidence and equity-focused analysis.,"sex_or_gender_group, gender, gender_disaggregation, disaggregation_categories, sex_or_gender",merge,population_group,merge
legal_status,"Legal, protection, or administrative status categories used to classify people or cases.","Legal-status categories are key facets for refugee, asylum, protection, and rights-monitoring data.","legal_status_categories, population_status_categories, population_group_categories, current_status_category",merge,population_group,merge
displacement_status,"Displacement, migration, or residency status of the represented population.","Displacement status enables humanitarian filtering for refugees, IDPs, returnees, stateless persons, host communities, and other affected groups.","displacement_status, settlement_status_indicator, self_settled_status, movement_type, movement_context",merge,population_group,merge
indicator_name,"Name of the indicator, variable, metric, outcome, or measured concept represented in the snapshot.",Indicator names are the core semantic content needed for fine-grained search and analytical reuse.,"indicator_name, indicator_names, primary_indicator, outcome_indicators, measured_variable, chart_indicator_names",keep,indicator_name,Core
indicator_definition,"Text explaining how an indicator, variable, category, or measure is defined, coded, or operationalized.",Definitions improve interpretability and prevent false matches between similarly named indicators.,"indicator_definition, indicator_description, variable_definition, variable_definitions, category_definitions, abbreviation_definitions",keep,,Specialized
measure_name,Name of the quantitative measure or value column reported in the snapshot.,"Measure names distinguish costs, counts, percentages, budgets, disbursements, coefficients, rates, and other numeric quantities.","measure_name, measure_names, measure_column, measure_labels, value_measure, financial_measure_names",merge,indicator_name,merge
unit_of_measure,"Unit used to interpret numeric values, such as percent, people, households, kilometers, index points, or monetary units.",Units are essential for comparing and reusing quantitative data correctly.,"unit_of_measure, measurement_unit, indicator_units, x_axis_unit_of_measure, y_axis_unit_of_measure, scale_unit",keep,,Core
currency,"Currency denomination, currency code, or monetary unit used for financial values.",Currency metadata prevents misinterpretation of monetary figures and supports comparison across financial snapshots.,"currency, currency_code, currency_unit, monetary_unit",keep,,Specialized
measure_type,"Statistical or quantitative form of the values, such as count, share, percentage distribution, rate, average, total, index, coefficient, or amount.","Measure type helps users distinguish raw counts from normalized, proportional, modeled, or summary values.","measure_type, value_type, statistic_type, statistical_measure, metric_type, measurement_type",keep,,Specialized
row_dimension,Conceptual dimension represented by table rows or row groups.,Row dimensions expose the structure of tabular data and make row-level categories reusable for search and analysis.,"row_dimension, row_labels, row_category_labels, row_categories, row_group_labels, subrow_dimension",keep,,Core
column_dimension,Conceptual dimension represented by table columns or column groups.,"Column dimensions clarify whether values are organized by time, geography, group, measure, model, funding source, or other variables.","column_dimension, column_dimensions, column_headers, column_labels, column_categories",keep,,Core
category_dimension,"Main categorical variable used to group, classify, or organize values in the snapshot.","Category dimensions describe what entities, statuses, groups, or classes are being compared across charts, tables, and maps.","category_dimension, categorical_dimension, classification_dimension, category_type, primary_dimension",keep,,Core
category_labels,"Observed labels for categories, classes, row values, column values, bins, statuses, or groups.",Category labels expose searchable semantic content that often appears only inside the visual object.,"category_labels, category_values, column_category_labels, row_category_labels, outcome_category_labels, x_axis_categories",keep,,Core
series_dimension,"Dimension represented by separate plotted series, legend entries, lines, bars, or repeated measures.",Series dimensions clarify what is being compared within a visualization and support reuse of multi-series charts.,"series_dimension, series_labels, series_values, data_series_labels, grouping_variable",keep,,Specialized
series_labels,"Names or labels of individual data series, legend items, or plotted measures.","Series labels make embedded chart content discoverable by specific comparator, indicator, scenario, or group.","series_labels, series_label, data_series_names, chart_series_labels, legend_labels, series_names",keep,,Specialized
disaggregation_dimension,"Dimension by which indicators are broken down for subgroup, equity, spatial, demographic, or categorical analysis.","Disaggregation dimensions support discovery of gender, age, wealth, location, refugee-host, sector, and other subgroup analyses.","disaggregation_dimension, disaggregation_dimensions, breakdown_dimension, demographic_dimensions, socioeconomic_disaggregation",merge,population_group,merge
comparison_group,"Benchmark, peer group, comparator country, region, income group, treatment group, or other entity used for comparison.",Comparison groups reveal benchmarking context and help users find snapshots suitable for comparative analysis.,"comparison_groups, comparison_group, comparison_entities, benchmark_labels, comparison_geographies, comparison_group_labels",keep,,Specialized
axis_variable,"Variable, indicator, dimension, or measure represented along a chart axis.",Axis variables are essential for interpreting plotted relationships when axis labels contain substantive concepts not in the title.,"x_axis_dimension, y_axis_variable, x_axis_indicator, y_axis_indicator, y_axis_measure, axis_value_range",merge,indicator_name,merge
data_collection_method,"Method, instrument, program, registration process, assessment, or monitoring mechanism used to collect or verify the data.","Collection-method metadata supports provenance, comparability, and filtering by surveys, monitoring systems, audits, registration methods, and consultations.","data_collection_method, data_collection_instrument, assessment_type, assessment_or_data_collection, data_collection_program, data_collection_or_registration_method",keep,,Specialized
calculation_method,"Method used to calculate, derive, weight, simulate, estimate, or transform reported values.","Calculation metadata distinguishes direct observations from modeled, weighted, simulated, or author-derived estimates.","calculation_method, calculation_note, data_derivation_method, measurement_method, aggregation_statistic",keep,,Specialized
analysis_method,"Statistical, econometric, modeling, analytical, or evaluative method underlying the snapshot.","Method metadata enables discovery of regression tables, simulations, structural-break tests, cost-effectiveness analyses, and other analytical outputs.","analysis_method, analytical_method, statistical_method, estimation_method, analysis_type, analytical_tool",keep,,Specialized
outcome_variable,"Dependent variable, outcome, result, or main effect being estimated, measured, or explained.",Outcome-variable metadata is central for finding analytical tables by the substantive result being modeled or evaluated.,"outcome_variable, dependent_variable, dependent_variables, outcome_variables, model_outcome_variables, outcome_indicator",merge,indicator_name,merge
project_name,"Name of the project, program, operation, response plan, initiative, or fund associated with the snapshot.",Project names connect snapshot-level evidence to institutional operations and enable project-level discovery across documents.,"project_name, project_context, parent_project_name, project_or_program_names, program_or_plan_names",keep,,Specialized
project_identifier,"Formal identifier for a project, operation, loan, credit, or institutional project record.","Identifiers enable precise linking between extracted snapshots, project databases, and related documents.","project_identifier, project_id, document_project_id, operation_identifier",keep,,Specialized
project_component,"Project component, subcomponent, results area, workstream, or component identifier represented in the snapshot.","Component metadata supports retrieval of costs, indicators, and activities by project structure.","project_component, component_name, component_identifier, project_component_categories, subcomponent_categories",keep,,Specialized
intervention_type,"Assistance modality, service, program activity, policy intervention, treatment, or operational action represented or evaluated.","Intervention metadata supports thematic discovery of snapshots about food assistance, vaccination, cash transfers, procurement, reforms, services, and other program activities.","intervention_type, assistance_type, service_type, service_or_intervention, policy_intervention, intervention_area",keep,,Specialized
financing_source,"Organization, donor, funding window, institution, or source category providing or associated with financing.","Financing-source metadata enables donor tracking, lender filtering, and discovery of project-finance tables.","financing_source, funding_source, funding_agency, selected_financing_sources, financing_source_categories",keep,,Specialized
financing_instrument,"Type or modality of financing, such as loan, credit, grant, guarantee, equity, trust fund, or financing window.",Financing instrument supports comparison of financial structures across project appraisal and portfolio snapshots.,"financing_instrument, financing_type, financial_instrument_type, financial_instrument_types, funding_type",keep,,Specialized
financial_metric,"Financial, budgetary, cost, disbursement, funding-gap, economic-value, or portfolio measure represented in the snapshot.","Financial metrics are core searchable concepts for project finance, humanitarian funding, procurement, and economic appraisal tables.","financial_metric, financial_metrics, financial_measure_type, funding_amount, disbursement_values, financing_gap_status",keep,,Specialized
