snapshot_id,snapshot_type,source,model,metadata_field,observed_value,description,source_level,discovery_value,reasoning
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,figure_title,Figure 2: Share of food expenditure in total expenditure p.c. (%),The title or caption identifying the figure and its subject.,snapshot,high,The figure title provides the most direct searchable description of the snapshot content.
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,indicator_name,Share of food expenditure in total expenditure p.c.,The main measure or indicator represented in the figure.,snapshot,high,Indicator-level metadata enables retrieval of figures by the specific economic or food-security measure shown.
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,subject_domain,Food expenditure; food security,The thematic domain or topical area represented by the snapshot.,both,high,The figure title and document metadata both connect the snapshot to food expenditure and food security topics.
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,geographic_scope,"Jordan, inferred from parent document title and project name; not visible in snapshot","The country, region, or geographic area to which the figure data applies.",document,high,Geographic context is essential for discovery because it is not shown in the figure itself.
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,time_period,Not identifiable from this snapshot,"The date, year, or period covered by the data in the figure.",snapshot,high,"A data time period would be highly useful for comparison, but it is not visible in the figure."
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,unit_of_measure,Percent (%),The unit in which the figure's values are expressed.,snapshot,high,Units are necessary for interpreting and comparing the reported values.
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,measurement_basis,Percent of total expenditure per capita (p.c.),"The denominator, normalization, or basis used to calculate the indicator.",snapshot,high,The per-capita and total-expenditure basis clarifies how the indicator should be interpreted.
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,category_dimension,Numbered categories 1–10; dimension name not identifiable from snapshot,The grouping variable used to organize the observations in the figure.,snapshot,high,"Knowing the category dimension supports analytical reuse, even though the exact dimension label is missing."
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,category_labels,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",The labels of the categories displayed along the categorical axis.,snapshot,medium,Category labels allow the figure's data structure to be indexed and reconstructed.
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,category_values,"37, 35, 35, 34, 33, 32, 31, 28, 27, 21",The values associated with each displayed category.,snapshot,high,"Capturing category-level values enables search, comparison, and downstream data reuse."
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,data_value_range,21% to 37%,The minimum and maximum values shown in the figure.,snapshot,medium,A value range helps users filter and compare figures without reading every data point.
